Date,Time,Plate Temperature (degrees C),Set Point (degrees C),Stirling voltage(V)
11/02/2026,13:28:26,5.07,6.03,3.10500000000003
11/02/2026,13:28:27,5,5.93,3.10500000000003
11/02/2026,13:28:29,4.94,5.84,3.11150000000002
11/02/2026,13:28:30,4.87,5.73,3.11150000000002
11/02/2026,13:28:31,4.8,5.63,3.10500000000003
11/02/2026,13:28:32,4.73,5.54,3.10500000000003
11/02/2026,13:28:33,4.64,5.44,3.09200000000004
11/02/2026,13:28:34,4.56,5.35,3.09200000000004
11/02/2026,13:28:36,4.46,5.25,3.08550000000005
11/02/2026,13:28:37,4.39,5.16,3.09200000000004
11/02/2026,13:28:38,4.31,5.06,3.09850000000004
11/02/2026,13:28:39,4.25,4.99,3.06599999999999
11/02/2026,13:28:40,4.18,4.97,3.02050000000003
11/02/2026,13:28:41,4.12,4.96,2.975
11/02/2026,13:28:43,4.05,4.94,2.95550000000002
11/02/2026,13:28:44,3.99,4.92,2.93600000000004
11/02/2026,13:28:45,3.93,4.9,2.92300000000005
11/02/2026,13:28:46,3.89,4.88,2.91650000000005
11/02/2026,13:28:47,3.85,4.86,2.91650000000005
11/02/2026,13:28:48,3.83,4.84,2.91650000000005
11/02/2026,13:28:49,3.81,4.82,2.91650000000005
11/02/2026,13:28:51,3.79,4.8,2.91650000000005
11/02/2026,13:28:52,3.78,4.78,2.90999999999999
11/02/2026,13:28:53,3.77,4.76,2.90999999999999
11/02/2026,13:28:54,3.76,4.74,2.90999999999999
11/02/2026,13:28:55,3.75,4.72,2.90349999999999
11/02/2026,13:28:56,3.74,4.7,2.897
11/02/2026,13:28:58,3.73,4.68,2.8905
11/02/2026,13:28:59,3.72,4.66,2.8905
11/02/2026,13:29:00,3.71,4.65,2.8905
11/02/2026,13:29:01,3.71,4.63,2.8905
11/02/2026,13:29:02,3.7,4.61,2.88400000000001
11/02/2026,13:29:03,3.69,4.59,2.87750000000001
11/02/2026,13:29:05,3.67,4.57,2.86450000000003
11/02/2026,13:29:06,3.66,4.55,2.86450000000003
11/02/2026,13:29:07,3.66,4.53,2.86450000000003
11/02/2026,13:29:08,3.65,4.51,2.86450000000003
11/02/2026,13:29:09,3.65,4.49,2.86450000000003
11/02/2026,13:29:10,3.65,4.47,2.86450000000003
11/02/2026,13:29:11,3.65,4.45,2.86450000000003
11/02/2026,13:29:13,3.64,4.43,2.85800000000003
11/02/2026,13:29:14,3.64,4.41,2.85800000000003
11/02/2026,13:29:15,3.64,4.4,2.85800000000003
11/02/2026,13:29:16,3.64,4.37,2.86450000000003
11/02/2026,13:29:17,3.64,4.35,2.86450000000003
11/02/2026,13:29:18,3.64,4.34,2.85800000000003
