Date,Time,Plate Temperature (degrees C),Set Point (degrees C),Stirling voltage(V)
11/02/2026,14:28:46,4.11,4.79,2.93600000000004
11/02/2026,14:28:48,4.09,4.76,2.94250000000003
11/02/2026,14:28:50,4.07,4.72,2.94250000000003
11/02/2026,14:28:52,4.05,4.69,2.93600000000004
11/02/2026,14:28:54,4.02,4.66,2.91650000000005
11/02/2026,14:28:56,3.99,4.62,2.90999999999999
11/02/2026,14:28:58,3.95,4.59,2.90349999999999
11/02/2026,14:29:00,3.93,4.56,2.90349999999999
11/02/2026,14:29:02,3.9,4.52,2.8905
11/02/2026,14:29:04,3.88,4.49,2.8905
11/02/2026,14:29:06,3.85,4.46,2.88400000000001
11/02/2026,14:29:08,3.84,4.42,2.88400000000001
11/02/2026,14:29:10,3.82,4.39,2.88400000000001
11/02/2026,14:29:12,3.8,4.36,2.87750000000001
11/02/2026,14:29:14,3.78,4.32,2.87750000000001
11/02/2026,14:29:16,3.76,4.29,2.87100000000002
11/02/2026,14:29:18,3.74,4.26,2.87100000000002
11/02/2026,14:29:20,3.73,4.22,2.87750000000001
11/02/2026,14:29:22,3.73,4.19,2.88400000000001
11/02/2026,14:29:24,3.72,4.15,2.88400000000001
11/02/2026,14:29:26,3.7,4.12,2.87750000000001
11/02/2026,14:29:28,3.69,4.09,2.87750000000001
11/02/2026,14:29:30,3.68,4.06,2.88400000000001
11/02/2026,14:29:32,3.68,4.02,2.8905
11/02/2026,14:29:34,3.68,3.99,2.897
11/02/2026,14:29:36,3.67,3.96,2.897
11/02/2026,14:29:38,3.64,3.92,2.8905
11/02/2026,14:29:40,3.63,3.89,2.897
11/02/2026,14:29:42,3.6,3.86,2.88400000000001
11/02/2026,14:29:44,3.58,3.82,2.8905
11/02/2026,14:29:46,3.55,3.79,2.88400000000001
11/02/2026,14:29:48,3.54,3.76,2.8905
11/02/2026,14:29:50,3.52,3.72,2.897
11/02/2026,14:29:52,3.51,3.69,2.90349999999999
11/02/2026,14:29:54,3.48,3.66,2.897
11/02/2026,14:29:56,3.46,3.62,2.897
11/02/2026,14:29:58,3.44,3.59,2.897
11/02/2026,14:30:00,3.43,3.56,2.90999999999999
11/02/2026,14:30:02,3.41,3.52,2.90999999999999
11/02/2026,14:30:04,3.39,3.49,2.90999999999999
11/02/2026,14:30:06,3.37,3.46,2.90999999999999
11/02/2026,14:30:08,3.34,3.42,2.90999999999999
11/02/2026,14:30:10,3.31,3.39,2.90999999999999
11/02/2026,14:30:12,3.28,3.36,2.90349999999999
11/02/2026,14:30:14,3.25,3.32,2.90349999999999
11/02/2026,14:30:16,3.23,3.29,2.91650000000005
11/02/2026,14:30:18,3.2,3.26,2.91650000000005
11/02/2026,14:30:20,3.17,3.22,2.92300000000005
11/02/2026,14:30:22,3.14,3.19,2.91650000000005
11/02/2026,14:30:24,3.11,3.16,2.91650000000005
11/02/2026,14:30:26,3.09,3.12,2.92300000000005
11/02/2026,14:30:28,3.06,3.09,2.92300000000005
11/02/2026,14:30:30,3.04,3.05,2.92950000000004
11/02/2026,14:30:32,3,3.02,2.92300000000005
11/02/2026,14:30:34,2.98,2.99,2.92950000000004
11/02/2026,14:30:36,2.94,2.96,2.92950000000004
11/02/2026,14:30:38,2.9,2.92,2.92300000000005
11/02/2026,14:30:40,2.87,2.89,2.92300000000005
11/02/2026,14:30:42,2.84,2.86,2.92950000000004
11/02/2026,14:30:44,2.8,2.82,2.92300000000005
11/02/2026,14:30:46,2.76,2.79,2.92300000000005
