Date,Time,Plate Temperature (degrees C),Set Point (degrees C),Stirling voltage(V)
06/02/2026,12:52:14,5.72,5.91,3.13100000000001
06/02/2026,12:52:15,5.62,5.81,3.1375
06/02/2026,12:52:16,5.54,5.72,3.1375
06/02/2026,12:52:17,5.45,5.62,3.1375
06/02/2026,12:52:18,5.36,5.52,3.1375
06/02/2026,12:52:20,5.26,5.42,3.1375
06/02/2026,12:52:21,5.16,5.33,3.13100000000001
06/02/2026,12:52:22,5.05,5.23,3.12450000000001
06/02/2026,12:52:23,4.94,5.13,3.12450000000001
06/02/2026,12:52:24,4.84,5.04,3.12450000000001
06/02/2026,12:52:25,4.74,4.94,3.12450000000001
06/02/2026,12:52:27,4.65,4.85,3.12450000000001
06/02/2026,12:52:28,4.55,4.75,3.13100000000001
06/02/2026,12:52:29,4.47,4.65,3.14399999999999
06/02/2026,12:52:30,4.38,4.55,3.15049999999999
06/02/2026,12:52:31,4.3,4.46,3.15049999999999
06/02/2026,12:52:32,4.21,4.36,3.15700000000006
06/02/2026,12:52:33,4.13,4.27,3.16350000000005
06/02/2026,12:52:35,4.03,4.17,3.15700000000006
06/02/2026,12:52:36,3.95,4.08,3.15700000000006
06/02/2026,12:52:37,3.84,3.97,3.15049999999999
06/02/2026,12:52:38,3.74,3.88,3.14399999999999
06/02/2026,12:52:39,3.63,3.78,3.14399999999999
06/02/2026,12:52:40,3.52,3.69,3.13100000000001
06/02/2026,12:52:42,3.41,3.59,3.13100000000001
06/02/2026,12:52:43,3.31,3.5,3.13100000000001
06/02/2026,12:52:44,3.2,3.4,3.13100000000001
06/02/2026,12:52:45,3.11,3.31,3.14399999999999
06/02/2026,12:52:46,3.02,3.21,3.15049999999999
06/02/2026,12:52:47,2.93,3.11,3.15700000000006
06/02/2026,12:52:48,2.84,3.01,3.16350000000005
06/02/2026,12:52:50,2.76,2.92,3.17000000000004
06/02/2026,12:52:51,2.67,2.82,3.17000000000004
06/02/2026,12:52:52,2.58,2.72,3.17000000000004
06/02/2026,12:52:53,2.49,2.63,3.17000000000004
06/02/2026,12:52:54,2.4,2.53,3.17000000000004
06/02/2026,12:52:55,2.31,2.43,3.17000000000004
06/02/2026,12:52:57,2.21,2.33,3.17000000000004
06/02/2026,12:52:58,2.12,2.24,3.17000000000004
06/02/2026,12:52:59,2.01,2.14,3.16350000000005
