Date,Time,Plate Temperature (degrees C),Set Point (degrees C),Stirling voltage(V)
28/01/2026,11:08:07,-2.25,-2.23,3.00100000000005
28/01/2026,11:08:09,-2.29,-2.27,2.98799999999999
28/01/2026,11:08:11,-2.33,-2.3,2.98799999999999
28/01/2026,11:08:13,-2.37,-2.33,2.98799999999999
28/01/2026,11:08:15,-2.41,-2.36,2.98799999999999
28/01/2026,11:08:17,-2.44,-2.4,2.98799999999999
28/01/2026,11:08:19,-2.47,-2.43,2.99450000000006
28/01/2026,11:08:21,-2.5,-2.47,3.00100000000005
28/01/2026,11:08:23,-2.53,-2.5,3.00100000000005
28/01/2026,11:08:25,-2.55,-2.53,3.00100000000005
28/01/2026,11:08:27,-2.58,-2.56,3.00750000000004
28/01/2026,11:08:29,-2.62,-2.6,2.99450000000006
28/01/2026,11:08:31,-2.65,-2.63,3.00100000000005
28/01/2026,11:08:33,-2.69,-2.67,3.00100000000005
28/01/2026,11:08:35,-2.71,-2.7,3.00750000000004
28/01/2026,11:08:37,-2.74,-2.73,3.00750000000004
28/01/2026,11:08:39,-2.76,-2.77,3.02050000000003
28/01/2026,11:08:41,-2.79,-2.8,3.01400000000004
28/01/2026,11:08:43,-2.81,-2.83,3.02050000000003
28/01/2026,11:08:45,-2.84,-2.87,3.02050000000003
28/01/2026,11:08:47,-2.88,-2.9,3.01400000000004
28/01/2026,11:08:49,-2.92,-2.93,3.01400000000004
28/01/2026,11:08:51,-2.97,-2.97,3.00750000000004
28/01/2026,11:08:53,-3,-3,3.00750000000004
28/01/2026,11:08:55,-3.04,-3.03,3.01400000000004
28/01/2026,11:08:57,-3.08,-3.06,3.00750000000004
28/01/2026,11:08:59,-3.11,-3.1,3.01400000000004
28/01/2026,11:09:01,-3.14,-3.13,3.02050000000003
28/01/2026,11:09:03,-3.17,-3.17,3.01400000000004
28/01/2026,11:09:05,-3.2,-3.2,3.02050000000003
28/01/2026,11:09:07,-3.23,-3.23,3.02050000000003
28/01/2026,11:09:09,-3.28,-3.26,3.00750000000004
28/01/2026,11:09:11,-3.31,-3.3,3.01400000000004
