Date,Time,Plate Temperature (degrees C),Set Point (degrees C),Stirling voltage(V)
06/02/2026,11:08:57,3.25,3.35,2.897
06/02/2026,11:08:59,3.23,3.32,2.90999999999999
06/02/2026,11:09:01,3.22,3.28,2.90999999999999
06/02/2026,11:09:03,3.19,3.25,2.90999999999999
06/02/2026,11:09:05,3.17,3.22,2.90999999999999
06/02/2026,11:09:07,3.14,3.19,2.91650000000005
06/02/2026,11:09:09,3.12,3.15,2.90999999999999
06/02/2026,11:09:11,3.08,3.12,2.90999999999999
06/02/2026,11:09:13,3.05,3.08,2.90999999999999
06/02/2026,11:09:15,3.02,3.05,2.90999999999999
06/02/2026,11:09:17,2.99,3.02,2.91650000000005
06/02/2026,11:09:19,2.96,2.99,2.91650000000005
06/02/2026,11:09:21,2.93,2.95,2.91650000000005
06/02/2026,11:09:23,2.9,2.92,2.92300000000005
06/02/2026,11:09:25,2.88,2.88,2.92300000000005
06/02/2026,11:09:27,2.85,2.85,2.92950000000004
06/02/2026,11:09:29,2.81,2.82,2.92300000000005
06/02/2026,11:09:31,2.78,2.79,2.92300000000005
06/02/2026,11:09:33,2.76,2.75,2.92950000000004
06/02/2026,11:09:35,2.72,2.72,2.92300000000005
06/02/2026,11:09:37,2.69,2.68,2.92950000000004
06/02/2026,11:09:39,2.66,2.65,2.92950000000004
06/02/2026,11:09:41,2.62,2.62,2.92300000000005
06/02/2026,11:09:43,2.59,2.58,2.92950000000004
06/02/2026,11:09:45,2.56,2.55,2.92950000000004
06/02/2026,11:09:47,2.53,2.52,2.93600000000004
06/02/2026,11:09:49,2.49,2.48,2.92950000000004
06/02/2026,11:09:51,2.45,2.45,2.92950000000004
06/02/2026,11:09:53,2.41,2.42,2.92950000000004
06/02/2026,11:09:55,2.37,2.38,2.92300000000005
06/02/2026,11:09:57,2.34,2.35,2.92950000000004
06/02/2026,11:09:59,2.31,2.32,2.92950000000004
06/02/2026,11:10:01,2.26,2.28,2.92300000000005
06/02/2026,11:10:03,2.23,2.25,2.92300000000005
06/02/2026,11:10:05,2.2,2.22,2.93600000000004
06/02/2026,11:10:07,2.17,2.18,2.92950000000004
06/02/2026,11:10:09,2.13,2.15,2.92300000000005
06/02/2026,11:10:11,2.1,2.12,2.93600000000004
06/02/2026,11:10:13,2.06,2.09,2.92950000000004
06/02/2026,11:10:15,2.03,2.05,2.92950000000004
06/02/2026,11:10:17,2,2.02,2.92950000000004
06/02/2026,11:10:19,1.96,1.98,2.92950000000004
06/02/2026,11:10:21,1.93,1.95,2.93600000000004
06/02/2026,11:10:23,1.9,1.92,2.93600000000004
06/02/2026,11:10:25,1.87,1.89,2.93600000000004
06/02/2026,11:10:27,1.83,1.85,2.93600000000004
06/02/2026,11:10:29,1.8,1.82,2.93600000000004
06/02/2026,11:10:31,1.77,1.78,2.93600000000004
06/02/2026,11:10:33,1.74,1.75,2.94250000000003
06/02/2026,11:10:35,1.7,1.72,2.93600000000004
06/02/2026,11:10:37,1.66,1.68,2.93600000000004
06/02/2026,11:10:39,1.64,1.65,2.94900000000002
06/02/2026,11:10:41,1.61,1.62,2.94250000000003
06/02/2026,11:10:43,1.59,1.58,2.94900000000002
06/02/2026,11:10:45,1.55,1.55,2.94900000000002
06/02/2026,11:10:47,1.53,1.52,2.95550000000002
06/02/2026,11:10:49,1.5,1.49,2.95550000000002
06/02/2026,11:10:51,1.48,1.45,2.96200000000001
06/02/2026,11:10:53,1.45,1.42,2.96200000000001
06/02/2026,11:10:55,1.41,1.38,2.95550000000002
06/02/2026,11:10:57,1.37,1.35,2.94900000000002
06/02/2026,11:10:59,1.32,1.32,2.94250000000003
06/02/2026,11:11:01,1.28,1.28,2.94250000000003
06/02/2026,11:11:03,1.24,1.25,2.94900000000002
06/02/2026,11:11:05,1.21,1.22,2.94900000000002
06/02/2026,11:11:07,1.18,1.18,2.94900000000002
06/02/2026,11:11:09,1.14,1.15,2.94900000000002
06/02/2026,11:11:11,1.1,1.12,2.94900000000002
06/02/2026,11:11:13,1.07,1.08,2.95550000000002
06/02/2026,11:11:15,1.05,1.05,2.95550000000002
06/02/2026,11:11:17,1.02,1.02,2.95550000000002
06/02/2026,11:11:19,0.98,0.99,2.94900000000002
06/02/2026,11:11:21,0.94,0.95,2.95550000000002
06/02/2026,11:11:23,0.9,0.92,2.94900000000002
06/02/2026,11:11:25,0.86,0.88,2.94900000000002
06/02/2026,11:11:27,0.83,0.85,2.95550000000002
06/02/2026,11:11:29,0.79,0.82,2.94900000000002
06/02/2026,11:11:31,0.77,0.79,2.95550000000002
06/02/2026,11:11:33,0.73,0.75,2.95550000000002
06/02/2026,11:11:35,0.69,0.72,2.94900000000002
06/02/2026,11:11:37,0.66,0.68,2.94900000000002
06/02/2026,11:11:39,0.62,0.65,2.95550000000002
06/02/2026,11:11:41,0.59,0.62,2.95550000000002
06/02/2026,11:11:43,0.56,0.58,2.95550000000002
06/02/2026,11:11:45,0.53,0.55,2.96200000000001
06/02/2026,11:11:47,0.49,0.52,2.95550000000002
06/02/2026,11:11:49,0.46,0.48,2.94900000000002
06/02/2026,11:11:51,0.43,0.45,2.96200000000001
06/02/2026,11:11:53,0.4,0.42,2.96200000000001
06/02/2026,11:11:55,0.37,0.38,2.96200000000001
06/02/2026,11:11:57,0.34,0.35,2.96850000000001
06/02/2026,11:11:59,0.3,0.32,2.95550000000002
06/02/2026,11:12:01,0.26,0.28,2.95550000000002
06/02/2026,11:12:03,0.22,0.25,2.95550000000002
06/02/2026,11:12:05,0.19,0.22,2.95550000000002
06/02/2026,11:12:07,0.15,0.18,2.95550000000002
06/02/2026,11:12:09,0.11,0.15,2.95550000000002
06/02/2026,11:12:11,0.08,0.12,2.95550000000002
06/02/2026,11:12:13,0.05,0.08,2.95550000000002
06/02/2026,11:12:15,0.03,0.05,2.96850000000001
06/02/2026,11:12:17,0,0.02,2.96850000000001
06/02/2026,11:12:19,-0.02,-0.02,2.96850000000001
06/02/2026,11:12:21,-0.06,-0.05,2.96850000000001
06/02/2026,11:12:23,-0.07,-0.08,2.98149999999999
06/02/2026,11:12:25,-0.1,-0.12,2.98149999999999
06/02/2026,11:12:27,-0.12,-0.15,2.99450000000006
06/02/2026,11:12:29,-0.15,-0.18,2.98799999999999
06/02/2026,11:12:31,-0.18,-0.22,2.98149999999999
06/02/2026,11:12:33,-0.21,-0.25,2.98149999999999
